State,2019,2018,2017
Alabama,56200.0,49936.0,51113.0
Alaska,78394.0,68734.0,72231.0
Arizona,70674.0,62283.0,61125.0
Arkansas,54539.0,49781.0,48829.0
California,78105.0,70489.0,69759.0
Colorado,72499.0,73034.0,74172.0
Connecticut,87291.0,72812.0,72780.0
Delaware,74194.0,65012.0,62318.0
Florida,58368.0,54644.0,53681.0
Georgia,56628.0,55821.0,57016.0
Hawaii,88006.0,80108.0,73575.0
Idaho,65988.0,58728.0,60208.0
Illinois,74399.0,70145.0,64609.0
Indiana,66693.0,59892.0,58873.0
Iowa,66054.0,68718.0,63481.0
Kansas,73151.0,63938.0,57872.0
Kentucky,55662.0,54555.0,51348.0
Louisiana,51707.0,49973.0,43903.0
Maine,66546.0,58663.0,51664.0
Maryland,95572.0,86223.0,81084.0
Massachusetts,87707.0,86345.0,73227.0
Michigan,64119.0,60449.0,57700.0
Minnesota,81426.0,71817.0,71920.0
Mississippi,44787.0,42781.0,43441.0
Missouri,60597.0,61726.0,56885.0
Montana,60195.0,57679.0,59087.0
Nebraska,73071.0,67575.0,59619.0
Nevada,70906.0,61864.0,56550.0
New Hampshire,86900.0,81346.0,74801.0
New Jersey,87726.0,74176.0,72997.0
New Mexico,53113.0,48283.0,47855.0
New York,71855.0,67274.0,62447.0
North Carolina,61159.0,53369.0,50343.0
North Dakota,70031.0,66505.0,59886.0
Ohio,64663.0,61633.0,59768.0
Oklahoma,59397.0,54434.0,55006.0
Oregon,74413.0,69165.0,64610.0
Pennsylvania,70582.0,64524.0,63173.0
Rhode Island,70151.0,62266.0,66390.0
South Carolina,62028.0,57444.0,54971.0
South Dakota,64255.0,59463.0,56894.0
Tennessee,56627.0,56060.0,55240.0
Texas,67444.0,59785.0,59295.0
Utah,84523.0,77067.0,71319.0
Vermont,74305.0,70066.0,63805.0
Virginia,81313.0,77151.0,71293.0
Washington,82454.0,79726.0,75418.0
West Virginia,53706.0,50573.0,45392.0
Wisconsin,67355.0,62629.0,63451.0
Wyoming,65134.0,62539.0,57837.0
